x,y,theta,speed,xref,yref
-0.010055, -0.084619, -0.000000, 0.775000, -0.009983, -0.085030
-0.010127, -0.084207, -0.000000, 0.793000, -0.010055, -0.084619
-0.010200, -0.083795, -0.000000, 0.714000, -0.010127, -0.084207
-0.010273, -0.083383, 0.000000, 0.775000, -0.010200, -0.083795
-0.010346, -0.082971, 0.000000, 0.744000, -0.010273, -0.083383
-0.010419, -0.082560, 0.000000, 0.739000, -0.010346, -0.082971
-0.010493, -0.082148, 0.000000, 0.707000, -0.010420, -0.082560
-0.010567, -0.081737, 0.000000, 0.761000, -0.010493, -0.082148
-0.010641, -0.081325, 0.000000, 0.690000, -0.010567, -0.081737
-0.010716, -0.080914, -0.000000, 0.813000, -0.010641, -0.081325
-0.010790, -0.080502, 0.000000, 0.893000, -0.010716, -0.080914
-0.010865, -0.080091, -0.000000, 0.761000, -0.010791, -0.080502
-0.010941, -0.079680, -0.000000, 0.592000, -0.010866, -0.080091
-0.011016, -0.079268, -0.000000, 0.678000, -0.010941, -0.079680
-0.011092, -0.078857, -0.000000, 0.707000, -0.011016, -0.079268
-0.011168, -0.078446, -0.000000, 0.656000, -0.011092, -0.078857
-0.011244, -0.078035, -0.000000, 0.756000, -0.011168, -0.078446
-0.011321, -0.077624, 0.000000, 0.947000, -0.011244, -0.078035
-0.011398, -0.077213, -0.000000, 0.773000, -0.011321, -0.077624
-0.011475, -0.076802, 0.000000, 0.676000, -0.011398, -0.077213
-0.011552, -0.076391, -0.000000, 0.712000, -0.011475, -0.076802
-0.011629, -0.075980, -0.000000, 0.698000, -0.011552, -0.076391
-0.011707, -0.075570, -0.000000, 0.818000, -0.011630, -0.075980
-0.011785, -0.075159, -0.000000, 0.702000, -0.011707, -0.075570
-0.011864, -0.074748, -0.000000, 0.759000, -0.011785, -0.075159
-0.011942, -0.074338, -0.000000, 0.685000, -0.011864, -0.074748
-0.012021, -0.073927, -0.000000, 0.672000, -0.011942, -0.074338
-0.012100, -0.073517, -0.000000, 0.817000, -0.012021, -0.073927
-0.012179, -0.073106, -0.000000, 0.742000, -0.012100, -0.073517
-0.012259, -0.072696, 0.000000, 0.706000, -0.012179, -0.073106
-0.012339, -0.072286, 0.000000, 0.652000, -0.012259, -0.072696
-0.012419, -0.071875, 0.000000, 0.684000, -0.012339, -0.072286
-0.012499, -0.071465, -0.000000, 0.667000, -0.012419, -0.071875
-0.012580, -0.071055, 0.000000, 0.733000, -0.012499, -0.071465
-0.012661, -0.070645, 0.000000, 0.639000, -0.012580, -0.071055
-0.012742, -0.070235, 0.000000, 0.651000, -0.012661, -0.070645
-0.012823, -0.069825, 0.000000, 0.601000, -0.012742, -0.070235
-0.012905, -0.069415, -0.000000, 0.756000, -0.012823, -0.069825
-0.012987, -0.069005, -0.000000, 0.798000, -0.012905, -0.069415
-0.013069, -0.068595, -0.000000, 0.752000, -0.012987, -0.069005
-0.013151, -0.068185, 0.000000, 0.711000, -0.013069, -0.068595
-0.013234, -0.067776, 0.000000, 0.775000, -0.013151, -0.068185
-0.013317, -0.067366, 0.000000, 0.607000, -0.013234, -0.067776
-0.013400, -0.066956, 0.000000, 0.719000, -0.013317, -0.067366
-0.013483, -0.066547, 0.000000, 0.754000, -0.013400, -0.066956
-0.013567, -0.066137, 0.000000, 0.720000, -0.013483, -0.066547
-0.013651, -0.065728, 0.000000, 0.811000, -0.013567, -0.066137
-0.013735, -0.065319, 0.000000, 0.721000, -0.013651, -0.065728
-0.013820, -0.064909, 0.000000, 0.741000, -0.013735, -0.065319
-0.013904, -0.064500, -0.000000, 0.686000, -0.013820, -0.064909
-0.013989, -0.064091, -0.000000, 0.604000, -0.013904, -0.064500
-0.014074, -0.063682, -0.000000, 0.748000, -0.013989, -0.064091
-0.014160, -0.063273, -0.000000, 0.696000, -0.014074, -0.063682
-0.014245, -0.062864, -0.000000, 0.842000, -0.014160, -0.063273
-0.014331, -0.062455, -0.000000, 0.842000, -0.014246, -0.062864
-0.014418, -0.062046, -0.000000, 0.619000, -0.014332, -0.062455
-0.014504, -0.061637, -0.000000, 0.642000, -0.014418, -0.062046
-0.014591, -0.061228, -0.000000, 0.848000, -0.014504, -0.061637
-0.014678, -0.060820, -0.000000, 0.656000, -0.014591, -0.061228
-0.014765, -0.060411, -0.000000, 0.740000, -0.014678, -0.060820
-0.014852, -0.060002, -0.000000, 0.705000, -0.014765, -0.060411
-0.014940, -0.059594, -0.000000, 0.722000, -0.014853, -0.060002
-0.015028, -0.059185, -0.000000, 0.842000, -0.014940, -0.059594
-0.015116, -0.058777, 0.000000, 0.713000, -0.015028, -0.059185
-0.015205, -0.058369, -0.000000, 0.712000, -0.015117, -0.058777
-0.015294, -0.057960, -0.000000, 0.629000, -0.015205, -0.058369
-0.015383, -0.057552, -0.000000, 0.760000, -0.015294, -0.057960
-0.015472, -0.057144, -0.000000, 0.711000, -0.015383, -0.057552
-0.015561, -0.056736, 0.000000, 0.741000, -0.015472, -0.057144
-0.015651, -0.056328, -0.000000, 0.701000, -0.015562, -0.056736
-0.015741, -0.055920, 0.000000, 0.603000, -0.015651, -0.056328
-0.015831, -0.055512, -0.000000, 0.820000, -0.015741, -0.055920
-0.015922, -0.055104, -0.000000, 0.745000, -0.015832, -0.055512
-0.016013, -0.054696, -0.000000, 0.795000, -0.015922, -0.055104
-0.016104, -0.054289, -0.000000, 0.831000, -0.016013, -0.054696
-0.016195, -0.053881, -0.000000, 0.803000, -0.016104, -0.054289
-0.016287, -0.053473, 0.000000, 0.826000, -0.016195, -0.053881
-0.016378, -0.053066, -0.000000, 0.792000, -0.016287, -0.053473
-0.016470, -0.052658, -0.000000, 0.614000, -0.016378, -0.053066
-0.016563, -0.052251, 0.000000, 0.714000, -0.016470, -0.052658
-0.016655, -0.051844, 0.000000, 0.726000, -0.016563, -0.052251
-0.016748, -0.051436, 0.000000, 0.781000, -0.016655, -0.051844
-0.016841, -0.051029, 0.000000, 0.668000, -0.016748, -0.051436
-0.016934, -0.050622, 0.000000, 0.813000, -0.016841, -0.051029
-0.017028, -0.050215, 0.000000, 0.918000, -0.016934, -0.050622
-0.017122, -0.049808, 0.000000, 0.677000, -0.017028, -0.050215
-0.017216, -0.049401, -0.000000, 0.645000, -0.017122, -0.049808
